objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Archies-1.jpg,,,Chanyungco Ancestral House,Marikina City Government Official Website,1920,"An ancestral house built in the late 1920’s in Marikina City by Tomas Chanyungco, one of the town’s first shoe traders, and his wife, Carmen Guevara, a relative of Don Laureano “Kapitan Moy” Guevara, the founder and father of the shoe industry in Marikina.",Architecture; Antiquities,"Marikina City, Philippines",14.6467498,121.1046629,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Archies-2.jpg,,,Kapitan Moy,Marikina City Government Official Website,1780,"The residence of Don Laureano “Kapitan Moy” Guevara (July 14, 1851 – December 30, 1891), the founder and father of the shoe industry in Marikina, which was built in 1780 Kapitan Moy served as capitan municipal and was credited for helping manufacture the first pair of shoes in Marikina in 1887.",Architecture; Antiquities,"3 Kapitan Moy St, Marikina City, Philippines",14.631054,121.096292,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Archies-3.jpg,,,Our Lady of the Abandoned Parish,Marikina City Government Official Website,1690,"A 1690-built church in Marikina City and was then known as the Our Lady of Protection. It became known as Our Lady of the Abandoned in 1792. The 328-year-old church enshrines one of the several images of the Virgin Mary venerated as miraculous and had received Papal recognition.The church suffered major damages during the tumultuous years of the Philippine-American War in the early 1900s and the carillon was totally destroyed during the Second World War. By 1957, the OLA was restored and refurbished by Father Silvestre dela Cruz of the Archdiocese of Manila with the help from various civic and religious organizations.",Architecture; Church; Religion,"Marikina City, Philiippines",14.6467498,121.096292,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpeg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,Archies-4.png,,,The Shoe Capital of the Philippines,Marikina City Government Official Website,1887,"The Augustinians were the first to arrive at the Marikina valley in 1500, at the spot known as ""chorillo"" in Barangka. Next came the Jesuits in 1630, in a place now called Jesus dela Peña (Jesus of the Rocks). Here, the Jesuits established a mission and built a chapel.In 1687, this pueblo became a parish known as Mariquina. In 1901, with the coming of the Americans,its name officially became Marikina. The early settlers lived along the riverbanks and nearby fertile farms. With the industry of the natives, combined with the know-how of the early Chinese settlers, the farms began to produce rice and vegetables in great quantities until the valley became part of the country's most prized hacienda.

By the 19th century, Hacienda Marikina had become the biggest in the country. For its size, natural beauty and plentiful harvest, the hacienda was declared a ""mayorazgo"" (Royal Estate) by the Spanish government. In the next century, to affirm the dignity of labor and enlist the cooperation of the workers, the Jesuits officially named the hacienda in honor of San Isidro labrador, the Patron of farmers.

By the turn of 20th century Marikina had become a town of shoemakers which started in 1887. Honed by years in shoe manufacturing, the natives had developed an industrial work ethic that prepared them for the arrival of heavy industries in the 1950's. With the industrial plants came waves of homelss families who started to occupy every available space. For the next three decades, Marikina would grow helter-skelter, a victim of runaway growth. Not until 1992 would it be able to turn a corner and reserved the trend under new leadership.

On 11 June 1901, Marikina was incorporated in the newly created Province of Rizal by Act. No. 137 of the Philippine Commission. In 1975, when the Metro Manila Commission was created under Presidential Decree No. 824, integrating four cities and 13 towns majority of which were in the province of Rizal, Marikina became part of Metropolitan Manila area.

Marikina soon became a victim of its own growth, creating a slew of problems. One of these was the deterioration of the Marikina River, which resulted from the reckless behavior of factories and squatter colonies that lined the banks.

Recovery and Renewal Marikina jumpstarted its efforts toward recovery and renewal in 1992. Guided by a vision of creating a modern and livable city, it has successfully laid the foundation of a flourishing community.

On December 8, 1996. Marikina was proclaimed a city through Republic Act 8223. Marikina has since transformed itself from a backward community into one that boasts thriving economy and hardworking, tenacious and disciplined citizens.

Today, Marikina is a multi-awarded city, often lauded for its vibrant business life, highly skilled workforce, and a responsive local government that puts a premium on governance, sustainable urban development and public service.",History,"Marikina City, Philiippines",14.6467498,121.07,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/png,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Archies-5.jpg,,,San Antonio de Padua Parish,Marikina City Government Official Website,1996-04-19,"The parish of San Antonio de Padua emerged from an accomplished mission by a community in Kalumpang, Marikina City to build a chapel where they could come together for worship, liturgical services and other religious activities.

In 1992 the residents organized and appointed an independent committee to take charge of finding a lot for their proposed chapel and the means for its construction. By 1996, the residents were on the way of realizing their dream with the donation by Noah's Paper Mills of a parcel of land on which to build the chapel. The deed of donation was turned over to the Diocese of Antipolo and the cornerstone of the envisioned St. Anthony de Padua Chapel was laid on April 19, 1996.

By January 1998, with the completion of the chapel, a brick, glass, and concrete structure that sits on a hill overlooking the Marikina River, the quasi parish of San Antonio de Padua was recognized.

Finally, on October 18, 2002 - a decade after the faithful had made the first move to build their chapel - the Quasi-Parish was established as the full-pledged Parish of San Antonio de Padua.",Architecture; Church; Religion,"Marikina City, Philiippines",14.6467498,121.07,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,Archies-6.jpg,,,Mariquina in 1899 map of Manila ,Algue Jose,1899,An 1899 map of Manila highlighting Mariquina,Geography; Map; Cartographic material,"Marikina City, Philiippines",14.6467498,121.07,"Atlas of the Philippine Islands, Washington Government Printing Office (as cited in Lagos, Concepcion, 2018)",,Image;StillImage,image/jpg,spa,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,Archies-7.png,,,Shoe Museum,Marikina City Government Official Website,1880,"The Marikina Shoe Museum was conceived in 1998 under the leadership of Mayor Bayani F. Fernando. The museum was built with the aim of becoming an important venue for nurturing the historical values of the country’s shoe industry since Marikina is known as the Shoe Capital of the Philippines.

The building (built in the 1880s) had a significant role in the country’s history. Before it became a shoe museum, the building was used as an arsenal during the Spanish Period. It was also a detention cell during the Filipino-American War, where General Macario Sakay, one of the leaders of the Katipunan, was believed to have had been held as a prisoner. At the latter part of the American Regime, it was converted into a motor pool for the American soldiers.

After the Second World War, the Tuason family used the building as a rice mill for its entire hacienda in Marikina.

It currently houses the shoes of famous personalities, including pairs from former presidents of the Philippines, as well as those of former Mayors (and the current Mayor Marcy Teodoro) of Marikina, government officials and cabinet secretaries, celebrities, movie stars, ambassadors and well-known politicians including senators. Some of the shoes of former First Lady Imelda Marcos are also displayed at the museum.",Architecture; Museum,"J.P. Rizal Street, Marikina City, Philiippines",14.6294559,121.0964042,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,Immaculate Conception Parish.html,,,Immaculate Conception Parish,Marikina City Government Official Website,1957-12-07,"In 1954, a small chapel made of six posts, galvanized iron sheet and sawali was built where Father Jose Mirasol of the Boys Town used to hold a mass every Sunday at eight in the morning. It was destroyed by a typhoon and Archbishop Rufino Cardinal Santos donated money to build a new chapel. On December 7, 1957, the new chapel was inaugurated. The laying of the cornerstone was done in 1969 and in 1970, a new and bigger church – The Immaculate Conception Church – was blessed. The walls on both sides of the church were replaced by folding steel doors, thus, it became cooler inside. The altar table and letern were also replaced by high quality decorative wood carving.",Architecture; Church; Religion,"Bayan-Bayanan Ave., Concepcion Uno Marikina City, Philippines",14.64986,121.114,"Heritage Page, Marikina City Government Official Website",,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,Zamora Ancestral House.jpg,,,Zamora Ancestral House,Marikina City Government Official Website,1890,"The materials used to construct the house were said to come from drifting logs that were floating on the Marikina River from Rodriguez (formerly Montalban), Rizal. Indigenous tribes such as the Aetas used to gather wood from the river and sell it to the settlers. In 1890, Domingo Zamora (whose older brother Felipe Zamora was one of Dr. Jose Rizal’s co-propagandists in Madrid Spain) constructed a military headquarters and garrison in the guise of a residential house.

Domingo Zamora was the founder of the Iglesia Pilipina Independiente, whose origin was traced back to the struggle of the Filipino clergy against racial discrimination and friar domination within the Roman Catholic Church in the 19th Century. Eventually, the Iglesia Pilipina Independiente was turned into a nationalist crusade for the absolute Filipinization of the Church.

During the Second World War, Japanese soldiers used the house as their headquarters. The house survived the destruction and bombings during the Liberation of the American forces and was used as a relief center for the war victims, where rice and other staple food was distributed.

The ownership of the house was passed down to the side of Domingo Zamora’s wife who came from a family of physicians. The Santos family is the current residents of the house, of which a part is being used as a clinic.

Its architecture is an example of neo-classical “Bahay na Bato” with its use of pilaster, a classical architecture feature attached to the wall for decoration and support. Intricately designed carvings can be seen below the eaves of the roof. A notable feature of the house is the presence of a “tangka” or chimney at the back, considered revolutionary at that time. Its interiors are characterized by a high ceiling to allow natural ventilation.",Architecture,"J.P. Rizal Street, Sto. Niño Marikina",14.6492,121.116,"Heritage Page, Marikina City Government Official Website",,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,Marikina and shoes.html,,,Marikina and shoes,Ambeth Ocampo,2020-11-25,"An article written by Ambeth Ocampo, a Filipino public historian, academic, cultural administrator, journalist, author and independent curator, in the digital newspaper, Inquirer.net",History; Culture; Shoes,"Marikina City, Philippines",14.62252088,121.0944814,Inquirer.net ,,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
